ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
1129,スプレッドレッグムーンサルト,Spread Leg Moonsault,瞬発,馬力,飛び,飛び,22,8,3,,,,,○,,○,○,必殺,,,
1130,コーナーヒップドロップ,Corner Hip Drop,馬力,瞬発,飛び,飛び,25,8,4,,,,,,,○,○,必殺,,,
1131,スイングＤＤＴ,Tornado DDT,瞬発,馬力,叩き,叩き,25,6,,13,,,,○,○,○,,必殺,,,
1132,元祖スイングＤＤＴ,Original Tornado DDT,瞬発,馬力,叩き,叩き,26,7,,13,,,,○,○,○,,必殺,,,
1133,スイングリバースＤＤＴ,Reverse Tornado DDT,瞬発,馬力,叩き,叩き,28,10,,14,,,,○,○,○,,必殺,,,
1134,元祖ブロンコバスター,Original Bronco Buster,ラフ,蹴り,ラフ,ラフ,12,15,1,2,,,,,○,○,○,,,,
1135,アイコノクラズム,Iconoclasm,瞬発,馬力,叩き,叩き,28,10,2,6,,10,,○,○,○,,必殺,,,
1136,ゴリコノクラズム,Goriconoclasm,瞬発,馬力,叩き,叩き,29,12,3,6,,10,,○,○,○,,必殺,,,
1137,奈落喉輪落とし,Inferno Choke Slam,腕力,馬力,叩き,叩き,38,14,4,20,,10,,,○,,○,パワ,,,
1138,雪崩式腕ひしぎ逆十字固め,Falling Cross Armbreaker,関節,関節,関節,関節,2@,2@,,,5@,,,,○,,○,関節,,○,
1139,雪崩式フランケンシュタイナー,Top Rope Huracanrana,瞬発,馬力,叩き,叩き,33,15,2,10,,8,,○,,○,○,必殺,,,
1140,雪崩式腰振りフランケンシュタイナー,Grinding Huracanrana,瞬発,馬力,叩き,叩き,33,17,2,10,,8,,○,,○,○,必殺,,,
1141,雪崩式場外フランケンシュタイナー,Outside Huracanrana,瞬発,馬力,叩き,叩き,36,17,4,18,,12,,○,,○,○,必殺,,,
1142,雪崩式リバースフランケンシュタイナー,Top Rope Rev Frankensteiner,瞬発,馬力,叩き,叩き,33,18,2,20,,,,○,,○,○,必殺,,,
1143,雪崩式後方回転エビ固め,Top Rope Reverse Rollup Pin,瞬発,テク,叩き,叩き,30,17,5,12,,,,○,,○,○,必殺,,,
1144,セカンド雪崩式ブレーンバスター,2nd Rope Brainbuster,瞬発,投げ,投げ,投げ,32,13,2,4,,10,,○,○,,○,必殺,,,
1145,トップ雪崩式ブレーンバスター,Top Rope Brainbuster,瞬発,投げ,投げ,投げ,34,14,2,5,,12,,○,○,,○,必殺,,,
1146,雪崩式垂直落下ブレーンバスター,Top Rope Vertical Suplex,瞬発,投げ,投げ,投げ,35,17,3,22,,,,○,○,,○,必殺,,,
1147,雪崩式リバースブレーンバスター,Top Rope Reverse Brainbuster,瞬発,投げ,叩き,叩き,34,18,5,,,,4,,○,○,○,必殺,,,
1148,雪崩式フィッシャーマンバスター,Avalanche Fisherman,瞬発,投げ,叩き,叩き,34,17,3,18,,,,○,○,,○,必殺,,,
1149,雪崩式フロントスープレックス,Avalanche Front Suplex,瞬発,投げ,投げ,投げ,34,15,2,6,,10,,○,○,○,,必殺,,,
1150,雪崩式サイドスープレックス,Avalanche Side Suplex,瞬発,投げ,投げ,投げ,34,15,2,5,,12,,○,○,○,,必殺,,,
1151,雪崩式ダブルアームスープレックス,Avalanche Double Arm Suplex,瞬発,投げ,投げ,投げ,34,15,2,4,,14,,○,○,○,,必殺,,,
1152,雪崩式カッター,Avalanche Cutter,瞬発,馬力,叩き,叩き,32,18,3,14,,,,,○,○,○,必殺,,,
1153,雪崩式バックフリップ,Avalanche Backflip,瞬発,馬力,叩き,叩き,35,15,3,6,,12,,,○,○,○,パワ,,,
1154,雪崩式水車落とし,Avalanche Waterwheel Drop,瞬発,馬力,叩き,叩き,35,15,2,4,,14,,,○,○,○,パワ,,,
1155,雪崩式パワースラム,Avalanche Power Slam,瞬発,馬力,叩き,叩き,35,15,3,5,,13,,,○,○,○,パワ,,,
1156,雪崩式ＤＤＴ,Tope Rope DDT,瞬発,投げ,叩き,叩き,32,16,3,16,,,,○,○,,○,パワ,,,
1157,雪崩式リバースＤＤＴ,Tope Rope Reverse DDT,瞬発,投げ,叩き,叩き,34,17,3,21,,,,○,○,,○,必殺,,,
1158,大車輪喉輪落とし,Big-Swing Choke Slam,腕力,馬力,叩き,叩き,35,15,3,14,,6,,,○,,○,パワ,,,
1159,雪崩式ドラゴンスクリュー,Top Rope Dragonscrew,テク,瞬発,テク,関節,18,12,,,,,20,,○,○,○,テク,,,
1160,雪崩式裏投げ,Top Rope Uranage,瞬発,投げ,投げ,投げ,34,16,3,16,,4,,,○,○,○,必殺,,,
1161,雪崩式バックドロップ,Top Rope Backdrop,投げ,瞬発,投げ,投げ,34,15,2,12,,7,,,○,○,○,必殺,,,
1162,雪崩式ジャーマンスープレックス,Top Rope German Suplex,投げ,瞬発,投げ,投げ,35,16,2,14,,,,,○,○,○,必殺,,,
1163,スパイダージャーマンスープレックス,Spider German Suplex,投げ,瞬発,投げ,投げ,32,15,2,15,,,,,○,○,○,必殺,,,
1164,雪崩式タイガースープレックス,Flying Tiger Suplex,投げ,瞬発,投げ,投げ,36,17,2,16,,,,,○,○,○,必殺,,,
1165,雪崩式ドラゴンスープレックス,Flying Dragon Suplex,投げ,瞬発,投げ,投げ,36,17,2,16,,,,,○,○,○,必殺,,,
1166,雪崩式ツームストンパイルドライバー,Top Rope Tombstone Piledriver,瞬発,馬力,叩き,叩き,32,18,3,20,,,,,○,,○,パワ,,,
1167,雪崩式パワーボム,Avalanche Powerbomb,馬力,瞬発,叩き,叩き,35,16,3,17,,8,,,○,,○,必殺,,,
1168,雪崩式ジャンピングボム,Avalanche Jumping Bomb,馬力,瞬発,叩き,叩き,36,17,3,18,,10,,,○,,○,必殺,,,
1169,雪崩式クルスフィックスジャンピングボム,Flying Crucifix Jumping Bomb,瞬発,馬力,叩き,叩き,35,17,3,15,,3,,,○,,○,必殺,,,
1170,ターンバックルボム,Turnbuckle Bomb,馬力,腕力,叩き,叩き,32,12,1,10,,,,,○,,○,必殺,,,
1171,アストロシザースホイップ,Astro Scissors Whip,瞬発,馬力,叩き,叩き,22,12,,4,,6,,,○,,○,,,,
1748,不知火,Shiranui,瞬発,馬力,叩き,叩き,29,10,,12,,,,,○,○,○,必殺,,,
1749,スカイハイ・チョークスラム,Sky High Choke Slam,腕力,馬力,叩き,叩き,30,9,,9,,4,,,○,○,○,パワ,,,
1750,筋肉バスター,Kinniku Buster,馬力,瞬発,叩き,叩き,29,8,,10,,3,,,,○,○,必殺,,,
1751,スパイダーネット,Spider Net,テク,絞め,ラフ,絞め,2@,4@,,,1@,3@,1@,,○,○,○,必殺,,,○
1752,ジャイアントプレス,Giant Press,馬力,瞬発,飛び,叩き,26,6,3,,,,,,,○,○,必殺,,,
1753,トリプルムーンサルトプレス,Triple Moonsaults,瞬発,馬力,飛び,飛び,24,9,4,,,,,○,,○,○,必殺,,,
1754,雪崩式タイガードライバー,Top Rope Tigerdriver,馬力,瞬発,叩き,叩き,36,15,3,12,,14,,,○,○,○,必殺,,,
1755,ロープ引きずり刑,Rope Trailing,ラフ,ラフ,ラフ,ラフ,6,13,,,,,,,○,○,,,,,
1756,コーナー叩きつけ連打,Corner Strike Rush,ラフ,馬力,ラフ,叩き,19,3,,,,,,,○,○,,,,,
1933,ブーメランキック,Boomerang Kick,瞬発,蹴り,飛び,飛び,32,10,1,8,,,,,○,,○,必殺,,,
1935,あてがい,Ategai,エン,エン,エン,エン,15,20,7,,,,,,,○,,必殺,,,
1936,ロープ張り付け首４の字固め,Hanged Neck Figure 4,テク,絞め,ラフ,絞め,2@,4@,1@,3@,,,,,○,○,○,,,,○
1937,雪崩式スパニッシュ・フライ,Top Rope Spanish Fly,瞬発,馬力,叩き,叩き,34,18,5,8,,10,,,○,○,○,必殺,,,
1938,雪崩式場外エクスプロイダー,Exploder to Outside,投げ,投げ,叩き,叩き,36,15,4,24,,8,,,○,,○,必殺,,,
1939,コーナー駆け上りカッター,Runup Cutter,瞬発,馬力,叩き,叩き,28,12,1,12,,,,,○,○,○,必殺,,,
1940,ピッチングチョップ,Pitching Chop,エン,突き,エン,突き,18,6,,,,,,,○,○,,必殺,,,
2135,コーナートップブレーンバスター,Corner Brainbuster,瞬発,投げ,投げ,投げ,32,18,1,22,,,,○,○,,○,必殺,,,
2136,コーナー逆さ吊りフットスタンプ,Corner Hanging Foot Stomp,瞬発,ラフ,飛び,ラフ,22,10,4,,,,,,,○,○,必殺,,,
2137,倒立式ヒップドロップ,Bouncing Hip Drop,瞬発,馬力,飛び,飛び,24,10,3,,,,,○,○,,,必殺,,,
2138,ターンバックルジャーマンスープレックス,Turnbuckle German Suplex,投げ,瞬発,投げ,叩き,34,12,1,8,,,,,○,,○,必殺,,,
2139,ロールスルージャーマンスープレックス,O'Connor Roll German Suplex,投げ,瞬発,投げ,投げ,33,12,,12,,,,,○,○,○,必殺,,,
2140,雪崩式エクスプロイダー,Avalanche Exploder,瞬発,投げ,投げ,投げ,32,18,3,18,,,,,○,○,○,必殺,,,
2141,ムーンサルト・フォール・アウェイ・スラム,Moonsault Fallaway Slam,瞬発,馬力,叩き,叩き,36,17,5,8,,12,,,○,○,○,必殺,,,
6162,コーナー馬乗りナックルアローＢ,Mount Knuckle Arrow B,ラフ,突き,ラフ,突き,14,5,,2,,,,,○,○,,,1%,,
6163,ロープ串刺しフロントキック,Rope Front Kick,蹴り,馬力,蹴り,ラフ,28,6,,8,,,,,,○,○,,,,
6164,ロープ串刺しニーアタック,Rope Knee Attack,瞬発,蹴り,蹴り,ラフ,26,8,,8,,,,,,○,○,,,,
6165,バッドラックフォール,Bad Luck Fall,馬力,瞬発,叩き,叩き,34,12,2,12,,10,,,○,○,○,必殺,,,
6166,グリーンキラー,Green Killer,馬力,瞬発,叩き,叩き,26,12,,15,,,,,○,○,,必殺,,,
6167,串刺しショートエルボー,Corner Short Elbow,突き,突き,突き,突き,19,3,,2,,,,,○,○,,,,,
6168,串刺しカチ上げエルボースマッシュ,Corner European Uppercut,突き,突き,突き,突き,17,4,,4,,,,,○,○,,,,,
6169,串刺しミドルキック,Corner Middle Kick,蹴り,蹴り,蹴り,蹴り,22,3,,,,,,,○,○,,,,,
6170,串刺しサイキック,Corner Thigh Kick,ラフ,蹴り,ラフ,蹴り,10,7,,,,,10,,○,○,,,,,
6171,ヘアーホイップ,Hair Whip,ラフ,投げ,叩き,ラフ,16,8,,12,,,,,○,,○,,,,
6261,ブロンコバスター,Bronco Buster,ラフ,テク,ラフ,ラフ,12,18,2,1,,,,,○,○,○,必殺,,,
