ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
2046,リバースファイヤーバードスプラッシュ,Reverse Firebird Splash,瞬発,馬力,飛び,叩き,29(12),10(6),4,,(3),,(2),○,,○,○,必殺,,,
2047,キャノンボールセントーン,Cannonball Senton,瞬発,馬力,飛び,叩き,30(12),15(8),4,,,(10),,○,,○,○,必殺,,,
2048,ダイビングかち上げエルボースマッシュ,Diving Upper Elbow Smash,瞬発,突き,飛び,突き,20(8),8(6),,8,,,(2),○,○,,○,必殺,,,
2049,エムエックス,MX,瞬発,ラフ,飛び,ラフ,26(12),12(6),,7,,(8),,,○,,○,必殺,,,
2050,ダイビング飛びつきカッター,Diving Cutter,瞬発,馬力,叩き,叩き,26(12),10(6),1,10(2),,(8),,,○,,○,必殺,,,
2051,ダイビングダブルニープレス,Diving Double Knee Press,瞬発,馬力,飛び,叩き,25(7),7(7),,10,,,(12),,,○,○,必殺,,,
2052,ハイフライアタック,High Fly Attack,瞬発,馬力,飛び,叩き,28(12),10(6),4,,,,(5),○,,○,○,必殺,,,
2053,ダブルローテーションムーンサルトプレス,Double Lotation Moonsault,瞬発,馬力,飛び,叩き,33(14),14(8),4,,,,(9),○,,○,○,必殺,,,
2054,コークスクリューキャノンボールセントーン,Corkscrew Cannonball Senton,瞬発,馬力,飛び,叩き,32(13),15(8),4,,,(10),,○,,○,○,必殺,,,
6046,刀羅式フロッグスプラッシュ,Tora Frog Splash,瞬発,馬力,飛び,叩き,26(10),10(6),4,,,,(5),○,,○,○,必殺,,,
6047,キングコングニードロップ,King Kong Knee Drop,馬力,瞬発,叩き,飛び,28(8),10(8),2,,,,(12),,,○,○,必殺,,,
6048,ダイビングセントーンアタック,Diving Senton Attack,瞬発,馬力,叩き,飛び,26(6),8(5),,,,(7),,,,○,○,必殺,,,
6049,アピールダイビングエルボードロップＢ,Appeal Diving Elbowdrop B,瞬発,馬力,飛び,叩き,25(7),7(5),4,,(4),(5),,○,○,,○,必殺,,,
6050,ディープインパクト,Deep Impact,瞬発,馬力,飛び,叩き,24(8),14(7),,14,,(4),,,○,○,○,必殺,,,
6051,こけし,Kokeshi,馬力,瞬発,叩き,飛び,23(7),9(6),2,(7),,,,○,,○,○,必殺,,,
6052,スターダストプレス,Stardust Press,瞬発,馬力,飛び,叩き,28(12),12(6),4,,,,(3),○,,○,○,必殺,,,
6053,旋回式フロッグ・スプラッシュ,Spinning Frog Splash,瞬発,馬力,飛び,叩き,26(10),12(6),4,,,,(5),○,,○,○,必殺,,,
6054,ＡＤＡＭＡＳ,ADAMAS,瞬発,馬力,飛び,叩き,27(10),9(6),4,,,,(5),○,,○,○,必殺,,,
6055,大江戸コースター,Oedo Coaster,瞬発,馬力,飛び,叩き,28(12),8(6),4,,(4),,(3),○,,○,○,必殺,,,
6056,ダイビングフットスタンプアタック,Diving Foot Stomp Attack,瞬発,馬力,飛び,叩き,28,10(4),1,,,,(3),,,○,○,必殺,,,
