ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
863,みちのくドライバーβ,Michinoku driver β,馬力,瞬発,叩き,叩き,29,5,,13,,,,,○,○,○,必殺,,,
864,タワーハッカーボム,Tower Hacker Bomb,馬力,瞬発,叩き,叩き,32,9,,10,,2,,,○,,○,必殺,,,
865,チキンウィングスープレックス,Chickenwing Suplex,投げ,瞬発,投げ,投げ,32,9,,15,,,,○,○,○,,投げ,,,
1688,顔面パンチ連打,Face Punch Rush,総合,突き,総合,突き,3@,3@,,3@,,,,,○,○,,打撃,1%,,
1689,コブラホールド,Cobra Hold,絞め,絞め,絞め,絞め,1@,2@,2@,2@,,,,,○,,○,必殺,,○,
1690,アルゼンチンバックブリーカー,Torturerack,腕力,絞め,絞め,絞め,2@,3@,2@,1@,,5@,,○,○,,○,必殺,,○,
1691,足踏み腕固め,Leg-Stomp Arm Hold,テク,絞め,テク,絞め,1@,2@,,,3@,,2@,,○,,○,,,○,
1692,肩車フェイスバスター,Electric Chair FaceBuster,馬力,ラフ,叩き,叩き,25,9,1,4,,,,,○,○,○,必殺,,,
1693,倒れ込み肩車フェイスバスター,Fall Down Electric Chair,馬力,瞬発,叩き,叩き,26,9,1,3,,,,,○,○,○,必殺,,,
1694,フルネルソンアトミックボム,Full Nelson A-Bomb,腕力,馬力,叩き,叩き,25,7,,,,10,,,○,○,,必殺,,,
1695,リフト式喉輪落とし,Lift Choke Slam,腕力,馬力,叩き,叩き,30,9,1,10,,2,,,○,,○,パワ,,,
1696,アトミックドロップ＆バックドロップ,Atomic Back Drop,投げ,馬力,叩き,叩き,26,5,,,,8,,,○,,○,,,,
1697,デッドエンド,Dead End,投げ,瞬発,投げ,投げ,30,9,,14,,,,○,○,○,,投げ,,,
1698,背面落下式フェイスバスター,Reverse Drop Face Buster,瞬発,馬力,叩き,叩き,28,8,,6,,,,,○,,○,必殺,,,
1918,ＰＫ,PK,蹴り,蹴り,蹴り,蹴り,24,6,1,,,,,,,○,○,必殺,,,
1919,ラ・エスパルダ,La Esparda,テク,瞬発,テク,テク,,16,2,,,,,○,,○,○,テク,,,
1920,高速スイングフェイスクラッシャー,Rapid Face Crusher,馬力,瞬発,叩き,叩き,24,10,,13,,,,○,○,,○,必殺,,,
1921,スリーパードロップ,Sleeper Drop,瞬発,馬力,叩き,叩き,26,9,,8,,,,○,○,,○,必殺,,,
1922,ファイナルカット,Final Cut,馬力,瞬発,叩き,叩き,28,8,,12,,,,○,○,,○,必殺,,,
1923,逆落とし,Reverse Drop,投げ,瞬発,投げ,投げ,26,4,2,6,,2,,,○,○,,必殺,,,
1924,ハーフネルソンボム,Half Nelson Bomb,腕力,馬力,叩き,叩き,33,5,,8,,4,,,○,○,,必殺,,,
1925,レッグロックスープレックスホールド,Leg Lock Suplex Hold,投げ,瞬発,投げ,投げ,30,8,1,8,,2,,○,○,○,,必殺,,,
1926,タイガースープレックス２００４,Tiger Suplex 2004,投げ,瞬発,投げ,投げ,30,8,,13,,,,○,○,○,,必殺,,,
2104,レインメーカー,Rainmaker,瞬発,腕力,ラリ,ラリ,29,9,,12,,,,,○,,○,必殺,,,
2105,ダブルニーバックブリーカー,Double Knee Back Breaker,瞬発,ラフ,ラフ,ラフ,25,10,,6,,,,,○,,○,必殺,,,
2106,Ｓｋｕｌｌ Ｅｎｄ,Skull End,絞め,絞め,絞め,絞め,3@,2@,2@,3@,,,,,○,○,○,必殺,,○,
2107,フルネルソン河津掛けフェイスバスター,Full Nelson Face Buster,ラフ,腕力,叩き,叩き,23,9,,9,,,,,○,○,,必殺,,,
2108,だるま式ジャーマンスープレックス,Package German Suplex,投げ,瞬発,投げ,投げ,28,9,,13,,,,○,○,○,,必殺,,,
2109,スクールボーイスープレックス,Schoolboy Suplex,投げ,瞬発,投げ,投げ,31,10,,12,,2,,,○,○,○,必殺,,,
2110,片翼の天使,Katayoku no Tenshi,馬力,瞬発,叩き,叩き,30,9,,14,,2,,,○,,○,必殺,,,
2111,カルマ,Karma,馬力,瞬発,叩き,叩き,28,9,,12,,2,,,○,,○,必殺,,,
2112,レインメーカー式Ｖトリガー,Rainmaker style V trigger,瞬発,蹴り,蹴り,蹴り,29,10,,10,,,,,○,,○,必殺,,,
2113,フルネルソン,Full Nelson,腕力,絞め,絞め,絞め,2@,2@,1@,3@,,,,,○,○,,必殺,,○,
2114,滞空式ジャーマンスープレックス,Deadlift German Suplex,投げ,瞬発,投げ,投げ,30,9,,14,,,,○,○,○,,必殺,,,
2115,スミススペシャル,Smith Special,投げ,瞬発,投げ,投げ,30,12,3,14,,,,,○,○,○,必殺,,,
2116,ＣＴＢ,CTB,馬力,瞬発,叩き,叩き,29,10,,8,,,,,○,,○,必殺,,,
6107,どどんスズスロウン,Dodonce’s throne,瞬発,馬力,叩き,叩き,24,6,4,,,4,,,○,○,○,必殺,,,
6108,ＧＴＲ,GTR,馬力,瞬発,叩き,叩き,26,9,,15,,,,,○,,○,必殺,,,
6109,グロリア,Gloria,馬力,瞬発,叩き,叩き,28,8,,14,,,,○,○,,○,必殺,,,
6110,エンドレスジャーマンスープレックス,Endless German Suplex,投げ,瞬発,投げ,投げ,28,6,,10,,,,○,○,○,,,,,
6111,高速ドラゴンスープレックスホイップ,Rapid Dragon Suplex Whip,投げ,瞬発,投げ,投げ,30,9,,12,,,,○,○,○,,必殺,,,
6112,クロイツ・ラス,Croyt's wrath,投げ,瞬発,投げ,投げ,32,12,,9,,,,○,○,○,,必殺,,,
6113,オリエンテーリング・ウィズ・ナパーム・デス,Orienteering With Napalm Death,関節,関節,関節,関節,1@,4@,,,,,7@,○,○,,○,関節,,○,
6114,どどん,Dodon,瞬発,馬力,叩き,叩き,24,8,,4,,,,,○,○,○,必殺,,,
6115,赤霧,Aka-Kiri,テク,ラフ,テク,テク,4,14,4,,,,,,○,,○,テク,,,
6116,ブシロール,Bushi roll,テク,テク,テク,テク,,14,5,,,,,,○,○,○,テク,,,
6117,エル・エス・クレロ,El Es Culero,テク,テク,テク,テク,,15,4,,,,,,,○,○,テク,,,
6118,クロスアームスープレックスからのカミゴェ,Cross Arm Suplex to Kamigoye,蹴り,投げ,ラフ,蹴り,32,12,,15,,,,,○,○,○,必殺,,,
6119,クロスフェース・チキンウィング,Cross Face Chicken Wing,関節,関節,関節,関節,2@,3@,,2@,3@,,,,○,,,関節,,○,
6120,熨斗紙,Noshigami,瞬発,馬力,叩き,叩き,27,10,2,1,,,,,○,○,○,必殺,,,
6216,起死回生,Kishi Kaisei,テク,テク,テク,テク,,12,4,,,,,,○,,○,テク,,,
6231,スイングスリーパー,Swing Sleeper,絞め,馬力,絞め,絞め,24,8,6,6,,,,,○,○,,必殺,,,
6232,ハイブリッジドラゴンスープレックスホールド,High Bridge Dragon Suplex Hold,投げ,瞬発,投げ,投げ,30,9,,14,,,,○,○,○,,必殺,,,
6233,二段式ドラゴンスープレックスホールド,Two-Step Dragon Suplex Hold,投げ,瞬発,投げ,投げ,31,10,,14,,,,○,○,○,,必殺,,,
6234,テキーラ・サンライズ,Tequila Sunrise,投げ,瞬発,投げ,投げ,30,8,,13,,,,○,○,○,,必殺,,,
6235,ピーチ・サンライズ,Peach Sunrise,投げ,瞬発,投げ,投げ,30,9,,14,,,,○,○,○,,必殺,,,
6236,トーチャーラック・ボム,Torturerack Bomb,馬力,瞬発,叩き,叩き,33,10,,12,,,,,○,○,○,必殺,,,
6237,スイングスリーパーＢ,Swing Sleeper B,絞め,馬力,絞め,絞め,2@,2@,2@,3@,,,,,○,○,,必殺,,○,
6238,グロリアスバスター,Glorious Buster,馬力,瞬発,叩き,叩き,28,10,1,6,,6,,,○,,○,必殺,,,
6239,ハイブリッジタイガースープレックスホールド,High Bridge Tiger Suplex Hold,投げ,瞬発,投げ,投げ,30,9,,14,,,,○,○,○,,必殺,,,
