ID,技名,"攻撃
属性","防御
属性",全体ダメ,部位ダメ,攻撃力低下,クリ,流血,ギブ,反則
629,原型バーニングハンマー,Original Burning Hammer,馬力,瞬発,叩き,叩き,32,8,,13,,,,,○,○,○,必殺,,,
630,チョークスラム,Choke Slam,腕力,馬力,叩き,叩き,27,4,,4,,,,,○,,○,パワ,,,
631,ワンハンドチョークスラム,One-hand Choke Slam,腕力,馬力,叩き,叩き,26,5,,5,,,,,○,,○,パワ,,,
632,ハイアングルチョークスラム,Angle Choke Slam,腕力,馬力,叩き,叩き,27,8,,6,,,,,○,,○,パワ,,,
633,ジャイアントチョークスラム,Giant Choke Slam,腕力,馬力,叩き,叩き,28,9,,7,,,,,○,,○,パワ,,,
634,高角度喉輪落とし,Sumo Choke Slam,腕力,馬力,叩き,叩き,28,6,,8,,,,,○,,○,パワ,,,
635,フィッシャーマンバスター,Fisherman Buster,瞬発,投げ,叩き,叩き,26,5,,13,,,,○,○,,○,必殺,,,
636,フィッシャーマンＤＤＴ,Fisherman DDT,馬力,腕力,叩き,叩き,28,7,,14,,,,○,○,,○,必殺,,,
637,デンジャラスＤＤＴ,Dangerous DDT,馬力,腕力,叩き,叩き,28,8,,15,,,,○,○,,○,必殺,,,
638,ノーザンライトボム,Northern Light Bomb,瞬発,馬力,叩き,叩き,27,6,,13,,,,○,○,,○,必殺,,,
639,オレンジクラッシュ,Orange Crush,馬力,腕力,叩き,叩き,30,6,,10,,,,,○,,○,必殺,,,
640,スクリュードライバー,Screw Driver,馬力,腕力,叩き,叩き,29,9,,15,,,,,○,,○,パワ,,,
641,ブルドッキングヘッドロック,Bulldogging Headlock,瞬発,馬力,叩き,叩き,20,3,,5,,,,,○,,○,,,,
642,ギロチンカッター,Guillotine Cutter,瞬発,馬力,叩き,叩き,20,4,,12,,,,,○,,○,必殺,,,
643,ジャンピングネックブリーカー,Jumping Neck Breaker,瞬発,馬力,投げ,叩き,18,3,,8,,,,○,○,,○,,,,
644,河津落とし,Russian Legsweep,投げ,投げ,投げ,投げ,18,2,,5,,3,,○,○,,○,,,,
645,河津掛けフェイスバスター,Legsweep Face Buster,ラフ,腕力,叩き,叩き,24,8,,8,,,,,○,○,,必殺,,,
646,オクラホマスタンピード,Oklahoma Stampede,馬力,腕力,叩き,叩き,26,3,1,,,8,,,○,,○,必殺,,,
647,アバランシュホールド,Avalanche Hold,馬力,腕力,叩き,叩き,28,4,2,,,10,,,○,,○,必殺,,,
648,アバランシュプレス,Avalanche Press,馬力,馬力,叩き,叩き,28,4,2,,,10,,,○,,○,パワ,,,
649,ジャックハマー,Jack Hammer,馬力,瞬発,叩き,叩き,28,6,5,,,10,,,○,,○,必殺,,,
650,カナディアンバックブリーカードロップ,Canadian Backbreaker Slam,馬力,瞬発,叩き,叩き,26,8,2,,,,6,,○,,○,パワ,,,
651,ストレッチバスター,Pump Handle Slam,腕力,馬力,叩き,叩き,25,3,,,,8,,,○,,○,必殺,,,
652,串刺しＤＤＴ,Vertical DDT,瞬発,馬力,叩き,叩き,20,4,,11,,,,,○,,○,必殺,,,
653,ジャンピングＤＤＴ,Jumping DDT,馬力,瞬発,叩き,叩き,23,5,,13,,,,,○,,○,必殺,,,
654,ダブルアームＤＤＴ,Double Arm DDT,馬力,瞬発,叩き,叩き,26,4,,10,,,,,○,,○,必殺,,,
655,インプラントＤＤＴ,Implant DDT,馬力,腕力,叩き,叩き,26,8,,12,,,,,○,○,,必殺,,,
656,ブリティッシュ・フォール,British Fall,瞬発,馬力,叩き,叩き,24,6,,12,,,,,○,○,,必殺,,,
657,ダブルアームフェイスバスター,Double Arm Face Buster,瞬発,馬力,叩き,叩き,27,8,1,6,,,,,,○,○,必殺,,,
658,リバースタイガードライバー,Reverse Tigerdriver,馬力,瞬発,叩き,叩き,28,6,,4,,,2,,,○,○,必殺,,,
659,筋肉バスター,Kinniku Buster,馬力,瞬発,叩き,叩き,28,6,,8,,3,,,,○,○,必殺,,,
660,マッスル・バスター,Muscle Buster,馬力,瞬発,叩き,叩き,34,8,1,12,,5,7,,,○,○,必殺,,,
661,元祖バックドロップ,Original Backdrop,投げ,瞬発,投げ,投げ,32,9,,12,,,,○,○,○,,投げ,,,
662,リフト,Lift,投げ,馬力,投げ,叩き,30,6,,8,,2,,,○,○,,必殺,,,
663,ダブルリストアームソルトホールド,Wrist Double Arm Pin,投げ,瞬発,投げ,投げ,22,4,,6,,3,,○,○,○,,必殺,,,
664,裏投げ,Uranage,投げ,瞬発,投げ,投げ,26,5,,10,,,,,○,○,,必殺,,,
665,エクスプロイダー,Exploder,投げ,瞬発,投げ,投げ,25,4,,7,,,,○,○,○,,必殺,,,
666,大外刈りバスター,Oosotogari Buster,瞬発,投げ,叩き,叩き,22,8,,12,,,,,○,○,,必殺,,,
667,元祖大外刈りバスター,Original Oosotogari Buster,投げ,馬力,叩き,叩き,24,9,,13,,,,,○,○,○,必殺,,,
668,ボトムドロップ,Bottom Drop,瞬発,投げ,叩き,叩き,28,8,,11,,,,,○,○,,必殺,,,
669,捻り式ボトムドロップ,Twisting Bottom Drop,瞬発,投げ,叩き,叩き,29,6,,8,,,,,○,○,○,必殺,,,
670,フロントネックチャンスリー,Front Neck Chancery,投げ,瞬発,投げ,投げ,22,2,,6,,,,○,○,○,,,,,
671,タイガーネックチャンスリー,Tiger Neck Chancery,投げ,瞬発,投げ,投げ,22,2,,7,,,,○,,○,○,,,,
672,魔神風車固め,Machine suplex,投げ,瞬発,投げ,投げ,25,5,,4,6,4,,○,○,○,,必殺,,,
673,フィッシャーマンズスープレックス,Fisherman's Suplex,投げ,瞬発,投げ,投げ,24,3,,2,,5,,○,○,○,,必殺,,,
674,ブリザードスープレックス,Blizzard Suplex,投げ,瞬発,投げ,投げ,24,4,,3,,4,,○,○,○,,必殺,,,
675,キャプチュード,Capture,投げ,瞬発,投げ,投げ,24,6,,10,,,,○,○,○,,投げ,,,
676,ノーザンライトスープレックス,Northern Light Suplex,投げ,瞬発,投げ,投げ,26,6,,2,,7,,○,○,○,,必殺,,,
677,リストクラッチエクスプロイダー,Wrist Clutch Explode,投げ,瞬発,投げ,投げ,28,5,,9,,,,○,○,○,,必殺,,,
678,ダブルアームスープレックスホールド,Double Arm Suplex Hold,投げ,瞬発,投げ,投げ,24,4,,2,,5,,○,○,○,,必殺,,,
679,高速ダブルアームスープレックス,Rapid Double Arm Suplex,投げ,瞬発,投げ,投げ,26,4,,6,,5,,○,○,○,,投げ,,,
680,ジャーマンスープレックス,German Suplex,投げ,瞬発,投げ,投げ,28,6,,10,,,,○,○,○,,必殺,,,
681,大回転ジャーマンスープレックス,Overhead German Suplex,投げ,腕力,投げ,投げ,26,8,,2,,,,○,○,○,,必殺,,,
682,高角度ジャーマンスープレックス,Angle German Suplex,投げ,瞬発,投げ,投げ,29,7,,12,,,,○,○,○,,必殺,,,
683,元祖ジャーマンスープレックス,Original German Suplex,投げ,瞬発,投げ,投げ,30,8,,12,,,,○,○,○,,必殺,,,
684,ジャンピングパイルドライバー,Jumping Pile Driver,馬力,瞬発,叩き,叩き,27,5,,12,,,,,○,,○,パワ,,,
685,叩き付けパイルドライバー,Striking Pile Driver,馬力,瞬発,叩き,叩き,26,4,,11,,,,,○,,○,パワ,,,
686,ジャンピングツームストンパイルドライバー,Jumping Tombstone,馬力,瞬発,叩き,叩き,28,7,,14,,,,,○,,○,パワ,,,
687,変型ツームストンパイルドライバー,Modified Tombstone,馬力,瞬発,叩き,叩き,28,8,,15,,,,,○,,○,パワ,,,
688,リバースパイルドライバー,Reverse Piledriver,馬力,瞬発,叩き,叩き,28,6,,13,,,,,○,,○,パワ,,,
689,原型エメラルド・フロウジョン,Original Emerald Flowsion,馬力,瞬発,叩き,叩き,30,6,,14,,,,○,○,,○,必殺,,,
690,タイガードライバー,Tigerdriver,馬力,瞬発,叩き,叩き,31,6,,8,,4,,,○,,○,必殺,,,
691,タイガードライバー’９１,Tigerdriver '91,馬力,瞬発,叩き,叩き,32,7,,14,,,,,○,,○,必殺,,,
692,ダブルアームホイップ,Double Arm Whip,腕力,馬力,叩き,叩き,31,6,,8,,4,,,○,,○,,,,
693,クロスアームドライバー,Cross Arm Driver,馬力,腕力,叩き,叩き,31,5,,11,,,,,○,,○,必殺,,,
694,みちのくドライバーⅡ,Michinoku driver II,瞬発,馬力,叩き,叩き,28,5,,12,,2,,,○,,○,必殺,,,
695,ストレッチドライバー,Pump Handle Driver,瞬発,馬力,叩き,叩き,27,6,,8,,6,,,○,,○,必殺,,,
696,ファイヤーサンダー,Fire Thunder,馬力,瞬発,叩き,叩き,28,9,1,10,,,,,○,,○,必殺,,,
697,スモウドライバー,Sumo Driver,馬力,瞬発,叩き,叩き,28,9,,12,,,,,○,,○,パワ,,,
698,ハリケーンドライバー,Hurricane Driver,瞬発,馬力,叩き,叩き,29,6,,12,,2,,,○,,○,必殺,,,
699,背面パイルドライバー,Back Piledriver,馬力,瞬発,叩き,叩き,28,9,,14,,,,,,○,○,パワ,,,
700,原型ファルコンアロー,Original Falcon Arrow,馬力,瞬発,叩き,叩き,28,5,,4,,4,,,○,,○,,,,
701,原型垂直落下式ファルコンアロー,Original Vertical Falcon Arrow,馬力,瞬発,叩き,叩き,29,8,,12,,,,,○,,○,必殺,,,
702,パワーボム,Powerbomb,馬力,腕力,叩き,叩き,30,5,,8,,,,,○,,○,必殺,,,
703,高角度パワーボム,Angle Powerbomb,馬力,腕力,叩き,叩き,30,6,,9,,,,,○,,○,必殺,,,
704,入魂パワーボム,Soulful Powerbomb,馬力,腕力,叩き,叩き,30,8,,9,,,,,○,,○,必殺,,,
705,パワーボムホイップ,Powerbomb Whip,馬力,腕力,叩き,叩き,30,6,,6,,2,,,○,,○,パワ,,,
706,ジャンピングパワーボム,Jumping Powerbomb,馬力,腕力,叩き,叩き,32,7,,10,,,,,○,,○,必殺,,,
707,高速パワーボム,Rapid Powerbomb,馬力,腕力,叩き,叩き,32,7,,10,,,,,○,,○,必殺,,,
708,高速パワーボムホイップ,Rapid Powerbomb Whip,馬力,腕力,叩き,叩き,32,8,,9,,4,,,○,,○,パワ,,,
709,侍パワーボム,SAMURAI Powerbomb,馬力,腕力,叩き,叩き,31,7,,8,,,,,○,,○,必殺,,,
710,念仏パワーボム,Praying Powerbomb,馬力,腕力,叩き,叩き,31,7,,9,,,,,○,,○,必殺,,,
711,念仏パワーボムホイップ,Praying Powerbomb Whip,馬力,腕力,叩き,叩き,31,8,,7,,2,,,○,,○,必殺,,,
712,ジャックナイフパワーボム,Jackknife Powerbomb,馬力,腕力,叩き,叩き,30,7,,8,,,,,○,,○,必殺,,,
713,デッドリー・ゴーラウンド,Deadly Go Round,馬力,瞬発,叩き,叩き,34,9,,10,,,,,○,,○,必殺,,,
714,元祖パワーボム,Original Powerbomb,馬力,腕力,叩き,叩き,28,8,,12,,,,,○,,○,パワ,,,
715,餅つきパワーボム,Triple Powerbomb,馬力,腕力,叩き,叩き,32,7,,10,,,,,○,,○,必殺,,,
716,餅つきパワーボムホイップ,Triple Powerbomb Whip,馬力,腕力,叩き,叩き,32,8,,8,,2,,,○,,○,パワ,,,
717,餅つきパワーボムＩＩ,Triple Powerbomb II,馬力,腕力,叩き,叩き,34,7,1,12,,,,,○,,○,必殺,,,
718,ビッグバディボム,Big Body Bomb,腕力,馬力,叩き,叩き,28,6,,7,,2,,,○,,○,必殺,,,
719,ミラクルエクスタシー,Miracle Ecstasy,腕力,馬力,叩き,叩き,28,7,,8,,,,,○,,○,必殺,,,
720,スーパーボム,Super Bomb,腕力,馬力,叩き,叩き,30,8,,8,,,,,○,,○,必殺,,,
721,火の玉ボム,Fireball Bomb,腕力,馬力,叩き,叩き,27,5,,7,,2,,,○,,○,必殺,,,
722,スクリューボム,Screw Bomb,腕力,馬力,叩き,叩き,28,5,,7,,2,,,○,,○,必殺,,,
723,ストレッチボム,Stretch Bomb,腕力,馬力,叩き,叩き,28,6,,6,,4,,,○,,○,必殺,,,
724,ドクターボム,Doctor Bomb,腕力,馬力,叩き,叩き,32,7,,11,,3,,,○,,○,必殺,,,
725,旋回式ドクターボム,Spinning Doctor Bomb,腕力,馬力,叩き,叩き,33,8,,11,,3,,,○,,○,必殺,,,
726,スーパーフリーク,Super Freak,馬力,腕力,叩き,叩き,31,9,,12,,,,,○,,○,必殺,,,
727,ジャンピングボム,Jumping Bomb,馬力,腕力,叩き,叩き,31,6,,10,,3,,,○,,○,必殺,,,
728,ライガーボム,Liger Bomb,馬力,瞬発,叩き,叩き,32,7,,12,,,,,○,,○,必殺,,,
729,高角度ライガーボム,Angled Liger Bomb,馬力,瞬発,叩き,叩き,33,9,,12,,,,,○,,○,必殺,,,
730,スパイラルボム,Spiral Bomb,馬力,瞬発,叩き,叩き,32,9,,11,,,,,○,,○,必殺,,,
731,サンダーファイヤーパワーボム,Fire Powerbomb,馬力,腕力,叩き,叩き,32,7,,10,,,,,○,,○,必殺,,,
732,高角度サンダーファイヤーパワーボム,Vertical Fire Powerbomb,馬力,腕力,叩き,叩き,32,8,,9,,,,,○,,○,必殺,,,
733,サンダーファイヤーパワーボムホイップ,Fire Powerbomb Whip,馬力,腕力,叩き,叩き,32,8,,8,,2,,,○,,○,必殺,,,
734,クルスフィックスパワーボム,Crucifix Powerbomb,馬力,腕力,叩き,叩き,32,9,,7,,2,,,○,,○,パワ,,,
735,サンダーファイヤージャンピングボム,Fire Jumping Bomb,馬力,瞬発,叩き,叩き,33,8,,10,,3,,,○,,○,必殺,,,
736,クロスアームサンダーファイヤーパワーボム,Cross Arm Fire Powerbomb,馬力,腕力,叩き,叩き,33,7,,12,,,,,○,,○,必殺,,,
737,サンダーファイヤージャンピングパワーボム,Fire Jumping Powerbomb,馬力,腕力,叩き,叩き,32,7,,8,,2,,,○,,○,必殺,,,
738,ランニングパワーボム,Running Powerbomb,馬力,腕力,叩き,叩き,33,8,,10,,4,,,○,,○,必殺,,,
739,クルスフィックスジャンピングボム,Crucifix Jumping Bomb,馬力,瞬発,叩き,叩き,33,7,,10,,4,,,○,,○,必殺,,,
740,スクリュースラム,Screw Slam,投げ,瞬発,投げ,叩き,24,8,,6,,6,,,,○,○,必殺,,,
741,旋回式垂直落下ブレーンバスター,Spinning Vertical Brainbuster,投げ,瞬発,投げ,叩き,26,7,,14,,,,,○,○,○,必殺,,,
742,スナイパー・クロス・フェイス,Sniper Cross Face,絞め,関節,絞め,関節,2@,1@,1@,3@,2@,,,,○,,○,必殺,,○,
743,ブロックバスターホールド,Block Buster Hold,投げ,馬力,投げ,叩き,23,5,,,,8,,,○,○,,必殺,,,
744,ネックハンギングボム,Neck Hanging Bomb,腕力,馬力,叩き,叩き,32,8,2,10,,3,,,○,,○,必殺,,,
745,ダイナソーバスター,Dinosaur Buster,馬力,瞬発,叩き,叩き,33,9,,8,,5,,,○,○,,必殺,,,
1633,組み付きパンチ連打,Grapple Punch Rush,総合,突き,総合,突き,3@,3@,,3@,,,,,○,○,,打撃,1%,,
1634,スーパーボディブロー,Super Body Blow,突き,突き,突き,突き,25,8,,,,,,,○,○,○,打撃,,,
1635,ローリング逆水平チョップ,Rolling Knife-Edge Chop,突き,突き,突き,突き,24,6,,2,,,,,○,○,,必殺,,,
1636,鍵風車,Kagi Fusha,突き,蹴り,突き,蹴り,35,10,,,,,,,○,,○,必殺,,,
1637,ジャンピング延髄踵落とし,Jumping Axe Kick,蹴り,瞬発,蹴り,蹴り,25,8,,10,,,,,,○,○,必殺,,,
1638,シャイニングフロントキック,Shining Front Kick,ラフ,蹴り,ラフ,蹴り,28,8,,6,,,,,,○,○,必殺,,,
1639,ブレードキック,Blade Kick,ラフ,蹴り,ラフ,蹴り,22,10,,8,,,,,,,,必殺,,,
1640,スーパー・キック,Super Kick,瞬発,蹴り,蹴り,蹴り,24,9,,6,,,,,,○,○,必殺,,,
1641,ゼロ戦キックラッシュ,Zero Fighter Kick Rush,瞬発,蹴り,蹴り,蹴り,25,7,,8,,,2,○,,○,○,必殺,,,
1642,番長ラッシュ,Bancho Rush,蹴り,ラフ,蹴り,ラフ,24,6,,8,,,4,,○,,○,打撃,,,
1643,ブラジリアンキックラッシュ,Brazilian Kick Rush,蹴り,テク,蹴り,突き,28,5,,8,,,2,,○,○,○,打撃,,,
1644,膝突き蹴り連打,Knee Kick Rush,蹴り,ラフ,蹴り,ラフ,3@,3@,,3@,,,,,○,○,,打撃,1%,,
1645,原型シャイニングウィザード,Original Shining Wizard,瞬発,蹴り,ラフ,蹴り,24,8,,4,,,8,,,○,○,必殺,,,
1646,シャイニングウィザード,Shining Wizard,瞬発,蹴り,ラフ,蹴り,26,8,,8,,,,,,○,○,必殺,,,
