ID,技名,ポスト上
日本語,英語
1451,片手上げ雄叫び,Shout with Hand out,○
1452,尻叩き挑発,Ass Slapping,○
1453,両手斜め上げ,Hand Raise Pose 1,○
1454,両手指斜め上げ,Hand Raise Pose 2,○
1455,片腕入魂アピール,Arm Soulful Pose,○
1456,一本指上げ,Finger Raise,○
1457,力一杯首斬り,Neck Cutting Pose,
1458,軽く礼,Bow,
1459,両手握り拳,Fists,○
1460,鶴の舞,Crane Dance,○
1461,アルゼンチンアピール,Argentine Appeal,
1462,ヒップホップダンス,Hip-hop Dance,
1463,糸巻きアピール,Spool Appeal,○
1464,両手クロスガッツポーズ,Arm Cross Gut Pose,○
1465,首斬り自分指差し,Neck Cut and Point,○
1466,頭指差しアピール１,Head Pointing 1,○
1467,両手振り上げ招き,Hands Come On,○
1468,両手ピース,Hands Peace,○
1469,ガンつけ,Stare,
1470,両手合わせ礼,Thai-Style Greeting,
1471,会場見回しパフォーマンス,Look Around Arena,○
1472,人差し指振り下ろし,Index Finger Down,○
1473,下方指差し,Ground Pointing,○
1474,敬礼,Salute,○
1806,自分指差しガッツポーズ,Gut Pose and Point,○
1807,じっと手を見る,Stare at Hands,
1808,観客に手を振る,Wave at Crowd,○
1809,聞き耳パフォーマンス,Listening to Crowd,
1810,指汗拭き,Wipe Sweat by Finger,○
1811,翼アピール,Wing Appeal,○
1812,タックルフェイント,Tackle Feint,
1813,中腰構え,Squat Style,
1814,魔術師ポーズ,Magician Pose,
1815,ターニングダンス,Turning Dance,
1816,サムアップ,Thumb Up,
1817,腕指差しアピール,Arm Pointing Appeal,○
1818,セクシーポーズ,Sexy Pose,○
1819,ハリキリガッツポーズ,Full Soul Gut Pose,○
1820,ネコマネポーズ,Cat Pose,○
1821,教育的指導,Instruction,○
1822,高笑い,Loud Laughter,○
1961,残心,Continuation,
1962,コール両手叩き,Both-hands Callup,○
1963,刀ポーズ,Katana Pose,
1964,両手広げポーズ,Both Hands Wide Open,○
1965,ガラガラパフォーマンス,Rattle Performance,○
1966,天狗アピール,Braggart Appeal,○
1967,悩ましポーズ,Bewitching Pose,○
1968,誓いのポーズ,Oath Pose,
1969,タイツ直し,Adjust Tights,○
1970,ノリノリポーズ,Go-Go Pose,○
1971,煽り両手半上げ,2-Hands Provocation,○
1972,カウント両手上げ,2-Hands Up & Count,○
1973,ＯＨ！連発,OH! Series,
1974,ヒーローポーズ１,Hero Pose 1,
1975,カンフーポーズ,Kung Fu Pose,
1976,エレガント礼,Elegant Greeting,○
1977,スキンヘッドアピール,Skinhead Appeal,○
1978,頭指差しアピール２,Head Pointing 2,○
1979,アイドルソングダンス,Idol Song Dance,
1980,ラテンダンス,Latin Dance,
1981,悶絶パフォーマンス,Faint in Agony Pose,
1982,両手前方指差し,Both-Hands Forward,○
1983,ビックリ！,Shocked!,○
1984,メキシカン式バンザイ,Mexican Banzai,○
1985,ピッチングポーズ,Pitching Pose,
1986,ヒーローポーズ２,Hero Pose 2,
2210,拳銃アピール,Finger Pistol,○
2211,両手指上げ,Both Fingers Up,○
2212,レインメーカーポーズ,Rainmaker Pose,○
2213,レインメーカーポーズ２,Rainmaker Pose 2,○
2214,肩すくめ,Shrug,○
2215,反復横跳び,Side Hop,○
2216,手刀アピール,Chop Pose,○
2225,たたずむ,Stand in Place,○
2226,首を鳴らす,Pop Neck,○
6177,力溜め拳上げ,Fist-Pump,○
6178,寝そべり拳上げ,"Fist Up, Down on Mat",
6179,目見開き拳上げ,Wide-Eye Raised Fist,○
6180,横片手招き,Horizontal Beckon,○
6182,両拳下げ叫び,Fists at Side Shout,○
6184,人差し指前向け片手挙げ,Pointer Fingers Straight Out,○
6186,エムエックスポーズ,MX Pose,○
6190,あごに手を当て睨む,Hand on Chin Stare,○
6191,印を結ぶ,Ninja Hands,○
6192,あぐら,Sit Cross-Legged,○
6193,アゴ指さし,Point at Chin,○
6194,カミゴェアピール,Kamigoye Appeal,○
6196,レイヴンアピール,Raven Appeal,
6197,ダウン,Down,
6198,弓を射るポーズ,Arrow Pose,○
6199,オスプレイポーズ,Ospreay Pose,○
6200,首切り片手上げ,Neck-slit Salute,○
6201,握り拳上げ,Forearm Clutch Shout,○
6202,三方向気合い入れ,Raise Fist,○
6203,腕押さえ叫び,3-way Shout,○
6246,ＳＴＡＲＳポーズ,STARS Pose,○
6247,大江戸隊ポーズ,Oedo Tai Pose,○
6248,ヘッドバンギング,Headbang,○
6249,ＱＱポーズ,QQ Pose,○
6250,ＴＣＳ敬礼Ａ,TCS Respect A,○
6251,ＴＣＳ敬礼Ｂ,TCS Respect B,○
6252,DEATHアピール,Death Appeal,○
